"household_id","home_zone_id","PNUM","agep","pecasOcc","sex","esr","wkw","wkhp","schg","age","is_age1617","is_ageless19","is_age1622","is_ageless40","is_age4059","is_age6079","is_age60plus","is_adult","adult","is_male","is_female","is_fulltime_worker","is_parttime_worker","is_worker","work_segment","is_nonworker_adult","is_k12","is_university","is_student","is_predrive","is_driving_age","is_nondriving_age","school_segment","ptype","PreSchoolStudent","student_is_employed","nonstudent_goes_to_school","preschoolChildren","PARKRATE","hh_income","is_no_income","is_low_income","is_medium_income","is_high_income","is_very_high_income","is_income_less10K","is_income_10K_20K","is_income_20K_40K","is_income_less50K","is_income_less25K","is_income_25K_to_60K","is_income_60K_to_120K","is_income_greater60K","is_income_greater120K","I_PCTLT10K","I_PCTLT10TO20","I_PCTLT20TO40","I_PCTGT40","hhsize","is_hhsize1","is_hh_with_child_less16","is_hh_with_child_16plus","is_non_worker_in_HH","is_pre_drive_child_in_HH","num_workers","num_non_workers","num_full","num_part","num_students","num_adults","is_all_adults_full_time_workers","CBDFlag","is_CBD","is_exurban","is_rural","is_rural_or_exurban","is_urban","is_suburban","school_zone_id","chose_school_location","noUsualSchoolLocation","distance_to_school","auto_time_home_to_school","auto_time_school_to_home","roundtrip_auto_time_to_school","workplace_zone_id","work_zone_area_type","auto_time_home_to_work","auto_time_work_to_home","roundtrip_auto_time_to_work","work_auto_savings_ratio","workers_prmTrn_ivt","workers_totalTrn_ivt","students_prmTrn_ivt","students_totalTrn_ivt","usualWorkLocationIsHome","noUsualWorkLocation","distance_to_work","free_parking_at_work","cdap_activity","travel_active","under16_not_at_school","mandatory_tour_frequency","work_and_school_and_worker","work_and_school_and_student","num_mand_tours","num_work_tours","has_pre_school_child_with_mandatory","has_driving_age_child_with_mandatory","num_joint_tours","non_mandatory_tour_frequency","num_non_mand","num_escort_tours","num_eatout_tours","num_shop_tours","num_maint_tours","num_discr_tours","num_social_tours","num_non_escort_tours","num_shop_maint_tours","num_shop_maint_escort_tours","num_add_shop_maint_tours","num_soc_discr_tours","num_add_soc_discr_tours","person_id"
46056,106,2,50,1,2,1,1,40,-9,50,false,false,false,false,true,false,false,true,true,false,true,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,329603.3895016609,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,false,true,false,false,4,0,4,0,0,4,true,false,false,false,false,false,false,false,-1,false,1,,,,0,101,3,8.75,8.75,17.5,0.14416666,0,1.51,,,0,0,0.87,false,"H",false,false,"",false,false,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123132
46056,106,3,24,2,2,1,1,40,-9,24,false,false,false,true,false,false,false,true,true,false,true,true,false,true,2,false,false,false,false,false,true,false,0,1,0,true,false,false,0,329603.3895016609,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,false,true,false,false,4,0,4,0,0,4,true,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,4.75,4.75,9.5,0.12083333,0,0,,,1,0,0.6,true,"M",true,false,"work1",false,false,1,1,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123133
46056,106,4,21,4,1,1,1,40,-9,21,false,false,true,true,false,false,false,true,true,true,false,true,false,true,4,false,false,false,false,false,true,false,0,1,0,true,false,false,0,329603.3895016609,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,false,true,false,false,4,0,4,0,0,4,true,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,4.75,4.75,9.5,0.12083333,0,0,,,1,0,0.6,true,"H",false,false,"",false,false,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123134
46158,106,1,41,1,1,1,1,50,-9,41,false,false,false,false,true,false,false,true,true,true,false,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,247202.54212624568,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,4.75,4.75,9.5,0.12083333,0,0,,,1,0,0.6,true,"M",true,false,"work1",false,false,1,1,false,false,0,32,1,1,0,0,0,0,0,0,0,1,0,0,0,123457
46158,106,2,39,2,2,1,5,10,-9,39,false,false,false,true,false,false,false,true,true,false,true,false,true,true,2,false,false,false,false,false,true,false,0,2,0,true,false,false,0,247202.54212624568,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,4.75,4.75,9.5,0.12083333,0,0,,,1,0,0.6,false,"N",true,false,"",false,false,0,0,false,false,0,64,3,3,0,0,0,0,0,0,0,3,0,0,0,123458
46158,106,3,8,0,2,-9,-9,-9,3,8,false,true,false,true,false,false,false,false,false,false,true,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,247202.54212624568,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,104,true,0,1.97,12.45,12.45,24.9,-1,,,,0,0,,,0,1.19,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,32,1,1,0,0,0,0,0,0,0,1,0,0,0,123459
46158,106,4,7,0,2,-9,-9,-9,3,7,false,true,false,true,false,false,false,false,false,false,true,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,247202.54212624568,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,false,true,2,2,1,1,2,2,false,false,false,false,false,false,false,false,106,true,0,0.6,4.75,4.75,9.5,-1,,,,0,0,,,0,0,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,32,1,1,0,0,0,0,0,0,0,1,0,0,0,123460
46231,106,1,38,0,2,6,6,40,-9,38,false,false,false,true,false,false,false,true,true,false,true,false,false,false,0,true,false,false,false,false,true,false,0,4,0,false,false,false,0,214242.20317607958,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,true,true,1,3,1,0,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,-1,,,,0,0,,,,,0,1,,false,"H",false,false,"",false,false,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123717
46231,106,2,39,1,1,1,1,50,-9,39,false,false,false,true,false,false,false,true,true,true,false,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,214242.20317607958,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,true,true,1,3,1,0,2,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,106,5,4.75,4.75,9.5,0.12083333,0,0,,,1,0,0.6,false,"H",false,false,"",false,false,0,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123718
46231,106,3,10,0,2,-9,-9,-9,3,10,false,true,false,true,false,false,false,false,false,false,true,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,214242.20317607958,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,true,true,1,3,1,0,2,2,false,false,false,false,false,false,false,false,104,true,0,1.97,12.45,12.45,24.9,-1,,,,0,0,,,0,1.19,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123719
46231,106,4,8,0,1,-9,-9,-9,3,8,false,true,false,true,false,false,false,false,false,true,false,false,false,false,0,false,true,false,true,true,false,true,1,7,0,false,false,false,0,214242.20317607958,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,4,false,true,true,true,true,1,3,1,0,2,2,false,false,false,false,false,false,false,false,107,true,0,1.5,10.91,10.93,21.84,-1,,,,0,0,,,0,1.95,0,1,,false,"M",true,false,"school1",false,false,1,0,false,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123720
46261,106,1,48,1,1,1,1,58,-9,48,false,false,false,false,true,false,false,true,true,true,false,true,false,true,1,false,false,false,false,false,true,false,0,1,0,true,false,false,0,124085.98193003704,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,3,false,true,true,true,false,1,2,1,0,1,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,108,4,12.95,13.04,25.99,0.81341666,0,1.95,,,0,0,3.09,false,"M",true,false,"work1",false,false,1,1,true,false,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123818
46261,106,2,22,0,2,3,5,36,-9,22,false,false,true,true,false,false,false,true,true,false,true,false,false,false,0,true,false,false,false,false,true,false,0,4,0,false,false,false,0,124085.98193003704,false,false,false,false,true,false,false,false,false,false,false,false,true,true,2.13,3.09,3.41,91.37,3,false,true,true,true,false,1,2,1,0,1,2,false,false,false,false,false,false,false,false,-1,false,1,,,,0,-1,,,,0,0,,,,,0,1,,false,"N",true,false,"",false,false,0,0,true,false,1,33,2,1,0,0,0,2,0,1,0,1,0,2,1,123819
