HHID,MAZ,SERIALNO,PUMA5,income,PERSONS,HHT,UNITTYPE,NOC,BLDGSZ,TENURE,VEHICL,hinccat1,hinccat2,hhagecat,hsizecat,hfamily,hunittype,hNOCcat,hwrkrcat,h0004,h0511,h1215,h1617,h1824,h2534,h3549,h5064,h6579,h80up,workers,hwork_f,hwork_p,huniv,hnwork,hretire,hpresch,hschpred,hschdriv,htypdwel,hownrent,hadnwst,hadwpst,hadkids,bucketBin,originalPUMA,hmultiunit
2717868,25000,2715386,2202,361000,2,1,0,0,9,1,1,4,9,2,2,2,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,1,0,0,0,3,2202,1
763899,6000,5360279,2203,59220,1,4,0,0,9,3,1,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,2203,1
2222791,9000,77132,2203,197000,2,2,0,0,9,1,2,4,9,1,2,2,0,0,2,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0,2,1,0,0,1,5,2203,1
112477,17000,3286812,2203,2200,1,6,0,0,8,3,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2,2,0,0,0,7,2203,1
370491,21000,6887183,2203,16500,3,1,0,1,8,3,0,1,2,1,3,2,0,1,1,0,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,2,2,0,0,0,7,2203,1
226880,10000,7536560,2203,11200,2,5,0,0,9,3,0,1,2,1,2,1,0,0,1,0,0,0,0,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,2,2,1,1,0,7,2203,1
568499,16000,8024615,2203,9000,1,4,0,0,9,3,0,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,5,2203,1
27956,10000,1835410,2203,24000,1,4,0,0,9,3,0,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,4,2203,1
110706,16000,2308400,2203,16800,1,6,0,0,7,3,0,1,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,4,2203,1
2307193,16000,4854756,2203,650000,3,1,0,0,5,1,1,4,9,1,3,2,0,0,2,0,0,0,0,1,0,2,0,0,0,2,2,0,0,1,0,0,0,0,2,1,0,0,1,1,2203,1
350326,19000,9696949,2203,24000,3,1,0,0,7,3,0,2,3,1,3,2,0,0,3,0,0,0,0,2,0,1,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,2,6,2203,1
2048661,10000,3883140,2203,351000,1,6,0,0,7,2,1,4,9,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,0,5,2203,1
257785,19000,5683795,2203,27980,2,5,0,0,4,3,1,2,3,1,2,1,0,0,2,0,0,0,0,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,2,2,0,0,0,9,2203,1
565732,7000,4228975,2203,22100,1,4,0,0,9,3,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,9,2203,1
