coefficient_name,value,constrain
coef_unavailable,-999,T
coef_escorting_tour,-7.2688,F
coef_discretionary_tour,-4.2006,F
coef_shopping_tour,-43.4464,F
coef_maintenance_tour,-3.3790,F
coef_visiting_or_social_tour,-4.0352,F
coef_eating_out_tour,-5.2924,F
coef_total_number_of_tours_is_0_prior_tours,0.0000,T
coef_total_number_of_tours_is_2,-0.7216,F
coef_total_number_of_tours_is_3,-0.9586,F
coef_has_mandatory_tours_and_tour_frequency_is_2_plus,-2.1108,F
coef_more_than_one_escorting_tours,2.3269,F
coef_high_income_group_and_escorting_tour,-0.6921,F
coef_zero_car_ownership_and_escorting_tour,-0.9936,F
coef_car_shortage_vs_workers_and_number_of_escorting_tours,-0.9936,F
coef_number_of_part_time_worker_and_escorting_tour,0.7831,F
coef_number_of_non_worker_and_escorting_tour,0.7831,F
coef_number_of_university_student_and_escorting_tour,0.8044,F
coef_go_out_pre_driving_school_kid_and_escorting_tour,0.5152,F
coef_go_out_school_kid_and_escorting_tour,0.6072,F
coef_retail_accessibility_for_escorting,0.2739,F
coef_retail_accessibility_for_shopping,2.7431,F
coef_1_escort_tour_constant,-8.402,F
coef_2_plus_escort_tours_constant,-9.519,F
coef_1_shopping_tours_constant,-3.856,F
coef_2_plus_shopping_tours_constant,0.000,T
coef_1_maintenance_tours_constant,-7.785,F
coef_2_plus_maintenance_tours_constant,-6.925,F
coef_1_plus_eating_out_tours_constant,-7.585,F
coef_1_plus_visting_tours_constant,-7.599,F
coef_1_other_discretionary_tours_constant,-7.462,F
coef_2_plus_other_discretionary_tours_constant,-15.000,F
coef_1_escort_tour_constant_tm2,-1.496,F
coef_2_plus_escort_tours_constant_tm2,-1.588,F
coef_1_shopping_tours_constant_tm2,0.031,F
coef_2_plus_shopping_tours_constant_tm2,0.031,F
coef_1_maintenance_tours_constant_tm2,-1.011,F
coef_2_plus_maintenance_tours_constant_tm2,-1.011,F
coef_1_plus_eating_out_tours_constant_tm2,-1.923,F
coef_1_plus_visting_tours_constant_tm2,-1.085,F
coef_1_other_discretionary_tours_constant_tm2,-1.126,F
coef_2_plus_other_discretionary_tours_constant_tm2,-1.126,F
coef_non_mandatory_dap_and_1_non_mand_tour,1.113941467,F
coef_non_mandatory_dap_and_2_non_mand_tour,0.375527882,F
coef_non_mandatory_dap_and_3_non_mand_tour,2.691413911,F
coef_non_mandatory_dap_and_4_plus_non_mand_tour,8.404994214,F
